Comment,Designator,Footprint,LCSC
Conn_01x01,J5,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
ATX-24,J1,Molex_Mod_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,
PC817,U1,DIP-4_W7.62mm,
MountingHole_Pad,H1,MountingHole_2.5mm_Pad,
MountingHole_Pad,H2,MountingHole_2.5mm_Pad,
Conn_01x01,J7,SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,
Conn_01x01,J3,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,
Conn_01x01,J6,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J4,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
MountingHole_Pad,H4,MountingHole_2.5mm_Pad,
R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
MountingHole_Pad,H3,MountingHole_2.5mm_Pad,
Conn_02x03_Odd_Even,J2,PinHeader_2x03_P2.54mm_Vertical,
Conn_01x01,J23,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,
Conn_01x01,J22,SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,
Conn_01x01,J16,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J12,SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,
Conn_01x01,J25,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J20,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J10,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J14,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J19,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J13,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,
Conn_01x01,J27,SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,
Conn_01x01,J17,SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,
Conn_01x01,J9,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J11,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J8,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,
Conn_01x01,J21,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J15,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J24,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
Conn_01x01,J18,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,
Conn_01x01,J26,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,
